,Gender,Core_Ind,Parent_Same_LastName,ACU_Distance,PRIZM_HouseholdIncome,QUAL_Familiarity,QUAL_Rank,HS_SIZE,HS_RankPercent,HS_GPA_CALC,NUM_Advanced_Courses,ACT,Visited,Taylor_County,US,Abilene,Texas,CoC,Ethnicity
264072,1,0,2,332.0,107388.0,1.0,1.0,162.0,69.75,3.591,2.0,18.0,0,0,1,0,1,0,2
264080,2,1,2,181.0,51623.0,3.0,3.0,373.0,77.21,3.6619,0.0,24.0,1,0,1,0,1,1,1
264081,2,0,2,205.0,74882.0,0.0,0.0,624.0,47.12,3.42,0.0,23.0,0,0,1,0,1,0,3
264082,1,0,1,165.0,99155.0,0.0,0.0,135.0,37.78,3.5,0.0,19.0,0,0,1,0,1,0,3
264089,2,0,1,155.0,73553.0,3.0,1.0,190.0,2.11,2.495238,0.0,22.0,0,0,1,0,1,0,1
264094,2,0,2,47.0,32592.0,0.0,0.0,59.0,72.88,4.9,0.0,22.0,0,0,1,1,1,0,3
264095,2,1,2,521.0,88775.0,0.0,0.0,242.0,83.06,3.55,0.0,28.0,0,0,1,0,0,1,1
264109,1,0,2,131.0,87074.0,2.0,3.0,128.0,87.5,4.0,5.0,21.0,1,0,1,0,1,0,1
264113,1,0,2,219.0,31486.0,2.0,2.0,290.0,89.31,4.0169999999999995,13.0,20.0,0,0,1,0,1,0,3
264115,2,0,0,299.0,126197.0,0.0,0.0,949.0,86.62,3.71,13.0,28.0,1,0,1,0,1,0,1
264116,2,0,0,174.0,26650.0,0.0,0.0,185.0,20.0,2.43,0.0,13.0,0,0,1,0,1,0,2
264117,1,0,2,201.0,49659.0,2.0,3.0,47.0,87.23,3.96,6.0,24.0,0,0,1,0,1,0,1
264119,1,0,2,179.0,78652.0,1.0,3.0,551.0,51.0,3.14,5.0,21.0,0,0,1,0,1,0,1
264125,2,0,2,152.0,86346.0,1.0,3.0,26.0,80.77,3.89,0.0,21.0,1,0,1,0,1,0,2
264138,1,0,2,52.0,26970.0,3.0,3.0,17.0,76.47,3.34,3.0,19.0,1,0,1,1,1,0,3
264139,1,1,2,4.0,37949.0,4.0,3.0,403.0,27.3,2.819,0.0,19.0,0,0,1,1,1,1,2
264144,1,0,2,336.0,50216.0,1.0,3.0,542.0,95.57,4.0,13.0,29.0,1,0,1,0,1,0,1
264148,2,0,2,227.0,68825.0,0.0,0.0,670.0,58.96,3.2889999999999997,2.0,24.0,0,0,1,0,1,0,3
264158,1,0,2,443.0,27734.0,0.0,0.0,75.0,90.67,3.78,5.0,25.0,0,0,1,0,1,0,3
264160,1,0,2,278.0,73553.0,2.0,3.0,448.0,76.34,3.67,1.0,22.0,1,0,1,0,1,0,1
264162,1,0,2,185.0,68884.0,1.0,4.0,441.0,67.8,3.58,6.0,20.0,1,0,1,0,1,0,3
264163,1,0,2,155.0,77250.0,0.0,0.0,428.0,85.75,4.1419999999999995,12.0,19.0,0,0,1,0,1,1,2
264171,2,0,2,166.0,84688.0,0.0,0.0,317.0,73.82,3.196,8.0,20.0,0,0,1,0,1,0,1
264188,1,0,2,321.0,52588.0,0.0,0.0,564.0,58.69,3.8,0.0,19.0,0,0,1,0,1,0,2
264189,1,0,0,589.0,74781.0,0.0,0.0,468.0,76.5,3.08,0.0,22.0,0,0,1,1,0,0,2
264193,2,0,2,5.0,102128.0,2.0,4.0,242.0,64.88,3.7939999999999996,0.0,27.0,1,0,1,1,1,0,1
264200,2,0,2,156.0,53279.0,0.0,0.0,800.0,12.5,2.72,0.0,24.0,0,0,1,0,1,0,2
264203,1,0,2,171.0,93382.0,2.0,3.0,581.0,73.15,4.291,0.0,19.0,1,0,1,0,1,0,3
264206,1,0,0,184.0,77609.0,2.0,1.0,355.0,69.58,3.7,7.0,21.0,0,0,1,0,1,0,2
264212,1,0,2,235.0,51944.0,0.0,0.0,255.0,96.08,3.9375,8.0,21.0,0,0,1,0,1,0,1
264213,2,0,2,570.0,115077.0,0.0,0.0,95.0,98.95,4.0,7.0,34.0,0,0,1,0,0,0,1
264214,2,0,2,310.0,31528.0,0.0,0.0,680.0,47.5,2.8,0.0,25.0,0,0,1,0,1,0,3
264215,2,0,2,142.0,52391.0,0.0,0.0,301.0,67.77,3.18,0.0,16.0,0,0,1,0,1,0,2
264216,2,0,1,157.0,38750.0,0.0,0.0,589.0,35.48,2.8,0.0,15.0,0,0,1,0,1,0,2
264217,2,0,2,218.0,197917.0,3.0,3.0,773.0,91.07,3.9,12.0,25.0,1,0,1,0,1,0,1
264221,1,0,2,73.0,26979.0,0.0,0.0,165.0,98.18,4.0,0.0,33.0,0,0,1,1,1,0,1
264223,2,0,2,175.0,39242.0,0.0,0.0,469.0,35.18,3.929,6.0,22.0,0,0,1,0,1,0,1
264230,1,0,2,164.0,54147.0,0.0,0.0,178.0,95.51,4.8,8.0,21.0,1,0,1,0,1,0,2
264233,1,0,2,151.0,73641.0,0.0,0.0,598.0,49.5,3.52,1.0,22.0,0,0,1,0,1,0,1
264236,1,0,2,147.0,57207.0,0.0,0.0,737.0,82.36,4.0,0.0,24.0,0,0,1,0,1,0,1
264244,2,0,0,299.0,72838.0,0.0,0.0,335.0,38.21,3.825,9.0,24.0,0,0,1,0,1,0,1
264247,1,0,2,275.0,75202.0,0.0,0.0,252.0,85.71,3.78,6.0,19.0,0,0,1,0,0,0,1
264248,1,0,2,222.0,60401.0,0.0,0.0,82.0,21.95,3.088,11.0,19.0,0,0,1,0,1,0,3
264249,1,0,1,315.0,39021.0,0.0,0.0,587.0,77.34,3.405,7.0,22.0,0,0,1,0,1,0,3
264250,1,0,2,161.0,30479.0,2.0,3.0,951.0,95.9,3.8,11.0,20.0,0,0,1,0,1,0,3
264251,1,0,0,310.0,37805.0,2.0,3.0,782.0,78.9,3.42,0.0,16.0,0,0,1,0,1,0,2
264253,1,0,2,156.0,20957.0,0.0,0.0,626.0,12.46,2.29,5.0,19.0,0,0,1,0,1,0,1
264254,1,0,2,146.0,132197.0,0.0,0.0,650.0,26.15,3.16122,0.0,21.0,0,0,1,0,1,0,1
264255,1,0,2,326.0,106696.0,0.0,0.0,78.0,83.33,3.9062,0.0,20.0,0,0,1,0,1,1,1
264256,1,1,2,226.0,69432.0,2.0,3.0,515.0,91.84,4.0,14.0,25.0,1,0,1,0,1,0,1
264259,2,0,2,365.0,61184.0,0.0,0.0,527.0,75.71,3.3,2.0,20.0,1,0,1,0,1,0,2
264261,1,0,2,134.0,50694.0,0.0,0.0,307.0,93.16,4.0,6.0,24.0,0,0,1,0,1,0,1
264262,2,0,2,370.0,90570.0,0.0,0.0,650.0,86.77,3.7,13.0,19.0,0,0,1,0,1,0,2
264266,1,0,2,449.0,77760.0,1.0,3.0,61.0,73.77,4.1,0.0,22.0,0,0,1,0,1,0,3
264271,1,1,2,211.0,51402.0,3.0,4.0,625.0,92.48,4.0,4.0,26.0,1,0,1,0,1,0,3
264273,2,0,2,193.0,106534.0,0.0,0.0,154.0,52.6,3.06,0.0,20.0,0,0,1,0,1,0,3
