,enrollmentProbabilityScore,enrollFlag,RET_T2,RET_T3,ADM,CAN,Gender,Core_Ind,Parent_Same_LastName,ACU_Distance,PRIZM_HouseholdIncome,QUAL_Familiarity,QUAL_Rank,HS_SIZE,HS_RankPercent,HS_GPA_CALC,NUM_Advanced_Courses,ACT,Visited,Taylor_County,US,Abilene,Texas,CoC,Ethnicity
33816,,0,0,0,1,1,1,0,2,405.0,45398.0,0.0,0.0,436.0,88.99,3.49,5.0,22.0,0,0,1,0,1,0,3
33823,,0,0,0,0,1,1,0,2,168.0,22273.0,0.0,0.0,205.0,72.68,2.75,4.0,18.0,0,0,1,0,1,1,2
33830,6.0,0,0,0,1,1,2,0,2,143.0,34400.0,2.0,3.0,484.0,58.47,3.0,8.0,24.0,0,0,1,0,1,0,2
33839,,0,0,0,0,0,1,0,2,178.0,53012.0,1.0,3.0,636.0,79.87,3.7,0.0,20.0,0,0,1,0,1,0,4
33840,6.0,0,0,0,0,1,2,0,2,154.0,47708.0,2.0,3.0,663.0,50.23,2.93,0.0,16.0,0,0,1,0,1,0,2
33844,6.0,0,0,0,0,1,2,0,2,166.0,33564.0,0.0,0.0,295.0,16.27,2.44,0.0,16.0,0,0,1,0,1,0,2
33859,,0,0,0,1,0,2,0,2,120.0,51351.0,2.0,3.0,419.0,90.45,3.67,13.0,29.0,0,0,1,0,1,0,1
170587,3.0,0,0,0,1,1,2,0,2,152.0,43104.0,2.0,3.0,96.0,93.75,3.91,12.0,33.0,1,0,1,0,1,0,1
170602,1.0,1,1,1,1,0,1,1,2,701.0,80896.0,3.0,4.0,544.0,55.33,3.3,2.0,26.0,1,0,1,0,0,0,1
170610,6.0,0,0,0,1,1,2,0,2,146.0,85177.0,2.0,3.0,614.0,99.51,4.0,14.0,34.0,1,0,1,0,1,1,1
170618,1.0,1,1,1,1,0,2,1,2,82.0,33774.0,4.0,4.0,27.0,96.3,4.111000000000001,5.0,30.0,1,0,1,0,1,1,1
170619,,1,1,1,1,0,1,1,2,7.0,84951.0,2.0,3.0,229.0,82.1,3.985,2.0,22.0,0,0,1,1,1,0,1
170620,,0,0,0,1,1,2,0,2,435.0,39515.0,0.0,0.0,418.0,77.27,3.65,4.0,20.0,0,0,1,0,0,0,1
170627,1.0,1,1,1,1,0,1,1,2,177.0,81125.0,2.0,3.0,1331.0,64.99,3.74,6.0,23.0,1,0,1,0,1,0,1
170631,3.0,0,0,0,1,1,1,1,2,140.0,69988.0,2.0,3.0,533.0,98.31,4.0,12.0,28.0,1,0,1,0,1,0,1
170634,2.0,1,1,1,1,0,1,1,2,298.0,84415.0,2.0,5.0,795.0,86.16,3.54,13.0,22.0,1,0,1,0,1,1,1
170635,1.0,1,1,1,1,0,2,0,2,521.0,90948.0,3.0,4.0,499.0,79.36,3.54,8.0,30.0,1,0,1,0,0,0,1
170638,6.0,0,0,0,1,1,1,0,2,199.0,40711.0,4.0,4.0,199.0,97.49,3.98,10.0,34.0,1,0,1,0,1,0,3
170639,5.0,0,0,0,1,1,1,0,2,119.0,58220.0,2.0,2.0,32.0,71.88,3.74,3.0,19.0,1,0,1,0,1,0,3
170640,6.0,0,0,0,0,1,2,0,2,440.0,25733.0,0.0,0.0,349.0,69.63,3.225,7.0,16.0,0,0,1,0,1,0,3
170641,6.0,0,0,0,1,1,2,0,2,175.0,56618.0,0.0,0.0,342.0,85.09,3.53,12.0,27.0,0,0,1,0,1,0,1
170643,2.0,0,0,0,1,0,2,0,2,178.0,113603.0,3.0,3.0,379.0,98.94,4.0,11.0,35.0,1,0,1,0,1,0,1
170647,,0,0,0,1,1,1,0,2,339.0,40674.0,0.0,0.0,488.0,63.32,3.26,5.0,20.0,0,0,1,0,1,1,1
170650,6.0,0,0,0,1,1,2,1,2,151.0,72656.0,0.0,0.0,637.0,84.93,3.39,12.0,26.0,0,0,1,0,1,1,1
170653,6.0,0,0,0,0,1,2,0,2,180.0,53012.0,1.0,0.0,501.0,61.48,3.0,8.0,19.0,0,0,1,0,1,0,3
170658,6.0,0,0,0,0,1,2,0,2,137.0,59910.0,3.0,3.0,533.0,44.28,3.1060000000000003,3.0,20.0,0,0,1,0,1,0,2
170663,2.0,1,1,1,1,0,1,0,2,184.0,100708.0,3.0,4.0,258.0,81.4,3.28,14.0,27.0,1,0,1,0,1,0,1
170664,6.0,0,0,0,1,1,1,0,1,139.0,70189.0,1.0,3.0,482.0,94.4,3.94,3.0,23.0,1,0,1,0,1,0,1
170665,6.0,0,0,0,1,1,1,0,2,193.0,56362.0,3.0,1.0,144.0,83.33,3.52,7.0,21.0,0,0,1,0,1,0,1
170668,,0,0,0,1,1,1,0,2,171.0,39180.0,3.0,3.0,293.0,92.49,4.0,12.0,29.0,1,0,1,0,1,0,1
170672,1.0,1,1,1,1,0,2,0,2,138.0,47333.0,3.0,1.0,74.0,97.3,4.0,4.0,28.0,1,0,1,0,1,1,1
170682,2.0,0,0,0,1,1,1,0,2,52.0,34459.0,3.0,3.0,58.0,98.28,4.0,9.0,34.0,1,0,1,1,1,1,1
170687,3.0,0,0,0,1,1,2,0,2,140.0,65777.0,2.0,3.0,364.0,71.7,3.4,12.0,27.0,0,0,1,0,1,0,1
170690,,0,0,0,1,0,1,0,2,133.0,43494.0,0.0,0.0,173.0,83.24,3.51,10.0,17.0,0,0,1,0,1,0,3
170691,5.0,0,0,0,0,1,1,0,2,185.0,90025.0,0.0,0.0,469.0,38.17,2.84,8.0,17.0,0,0,1,0,1,0,2
170692,6.0,0,0,0,1,1,1,0,1,318.0,19250.0,0.0,0.0,94.0,68.09,3.4,6.0,20.0,0,0,1,0,1,0,4
170698,3.0,0,0,0,1,1,2,0,2,207.0,103853.0,0.0,0.0,717.0,71.83,4.31,12.0,25.0,0,0,1,0,1,1,1
170700,,0,0,0,1,0,1,0,2,347.0,77596.0,0.0,0.0,563.0,97.51,4.0,12.0,26.0,0,0,1,0,1,0,1
170708,6.0,0,0,0,1,1,1,0,2,159.0,111988.0,1.0,3.0,766.0,28.59,2.91,0.0,22.0,0,0,1,0,1,0,3
170710,5.0,0,0,0,0,1,1,0,2,171.0,98741.0,2.0,1.0,308.0,28.25,2.478,0.0,13.0,1,0,1,0,1,0,3
170714,,1,1,1,1,0,1,0,2,147.0,77247.0,3.0,3.0,782.0,70.33,3.7,0.0,20.0,1,0,1,0,1,0,1
170715,6.0,0,0,0,1,1,1,0,2,166.0,58586.0,3.0,3.0,99.0,55.56,3.41,0.0,18.0,0,0,1,0,1,0,2
170718,,0,0,0,1,1,2,0,2,175.0,66823.0,0.0,0.0,342.0,72.81,3.23,9.0,22.0,0,0,1,0,1,0,1
170721,6.0,0,0,0,1,1,2,0,2,145.0,45645.0,0.0,0.0,212.0,92.92,3.46,11.0,28.0,0,0,1,0,1,0,1
170726,6.0,0,0,0,1,1,1,0,2,440.0,60788.0,3.0,3.0,807.0,90.71,3.17,11.0,24.0,0,0,1,0,1,0,3
170728,6.0,0,0,0,0,1,2,0,2,136.0,67131.0,0.0,0.0,426.0,26.53,2.6,0.0,15.0,0,0,1,0,1,0,2
170732,1.0,1,1,1,1,0,1,0,2,164.0,58673.0,4.0,4.0,119.0,86.55,3.89,6.0,21.0,1,0,1,0,1,0,1
170739,6.0,0,0,0,0,1,1,0,2,975.0,33833.0,1.0,3.0,553.0,61.12,3.1,6.0,16.0,0,0,1,1,0,0,3
170742,,0,0,0,1,1,2,0,2,471.0,39581.0,1.0,2.0,443.0,72.01,3.403,5.0,21.0,0,0,1,0,1,0,3
170745,,0,0,0,1,1,2,0,2,170.0,49263.0,0.0,0.0,153.0,99.35,3.98,14.0,33.0,0,0,1,0,1,0,4
170750,3.0,0,0,0,1,1,1,0,2,287.0,87069.0,3.0,5.0,394.0,71.07,3.17,8.0,22.0,0,0,1,0,1,0,4
170753,6.0,0,0,0,0,1,1,0,0,144.0,24038.0,2.0,3.0,191.0,48.17,2.8,7.0,15.0,1,0,1,0,1,0,2
170754,3.0,1,1,1,1,0,1,0,2,214.0,45408.0,1.0,3.0,236.0,98.73,4.0,14.0,26.0,1,0,1,0,1,0,1
170765,2.0,0,0,0,1,0,1,0,2,324.0,33516.0,2.0,0.0,108.0,75.0,3.64,8.0,24.0,1,0,1,0,1,0,4
170769,,0,0,0,1,1,1,0,2,154.0,41724.0,3.0,3.0,56.0,92.86,4.0,8.0,27.0,0,0,1,0,1,0,1
170774,6.0,0,0,0,0,1,1,0,2,136.0,32727.0,2.0,2.0,518.0,39.96,2.7,8.0,16.0,0,0,1,0,1,0,2
170776,4.0,1,1,1,1,0,2,0,2,217.0,88784.0,1.0,4.0,14.0,92.86,4.0,12.0,28.0,1,0,1,0,1,0,3
170786,6.0,0,0,0,1,1,2,0,2,1118.0,128765.0,0.0,0.0,12.0,33.33,3.27,7.0,21.0,0,0,1,1,0,0,1
170792,3.0,0,0,0,0,1,1,0,2,166.0,58586.0,3.0,5.0,556.0,41.19,2.72,0.0,19.0,1,0,1,0,1,1,3
170794,1.0,1,1,0,1,0,1,0,2,191.0,73077.0,3.0,4.0,263.0,63.5,2.81,5.0,19.0,1,0,1,0,1,0,3
170795,5.0,0,0,0,0,1,1,0,2,167.0,41528.0,1.0,2.0,79.0,68.35,3.41,0.0,16.0,1,0,1,0,1,0,1
170815,3.0,0,0,0,1,0,2,0,2,159.0,101087.0,2.0,3.0,754.0,75.2,3.34,8.0,25.0,0,0,1,0,1,0,3
170817,3.0,0,0,0,1,1,1,0,2,130.0,76412.0,0.0,0.0,624.0,65.06,3.22,9.0,24.0,0,0,1,0,1,0,3
170818,4.0,1,1,1,1,0,1,1,2,298.0,67671.0,0.0,0.0,593.0,89.38,3.83,0.0,19.0,1,0,1,0,1,1,2
170819,,0,0,0,1,0,1,1,2,150.0,67321.0,0.0,0.0,61.0,77.05,3.82,10.0,28.0,0,0,1,0,1,0,1
170822,5.0,0,0,0,1,1,2,0,2,196.0,33550.0,0.0,0.0,83.0,68.67,3.4,10.0,26.0,0,0,1,0,1,0,2
170829,6.0,0,0,0,1,0,2,0,2,328.0,56916.0,1.0,2.0,269.0,81.04,3.3,1.0,20.0,0,0,1,0,1,0,2
170837,,0,0,0,1,1,1,0,2,1278.0,45318.0,2.0,4.0,565.0,89.91,3.5,7.0,20.0,0,0,1,1,0,0,4
170839,,0,0,0,1,0,2,0,2,355.0,36220.0,0.0,0.0,377.0,89.66,3.29,12.0,21.0,0,0,1,0,1,0,3
170845,,1,1,1,1,0,1,0,2,82.0,40017.0,2.0,3.0,135.0,77.78,3.54,9.0,24.0,1,0,1,0,1,0,1
170846,2.0,0,0,0,1,1,1,0,2,123.0,83092.0,4.0,3.0,411.0,62.77,3.5,8.0,23.0,1,0,1,0,1,0,1
170849,6.0,0,0,0,1,1,2,1,2,172.0,47664.0,2.0,3.0,392.0,36.48,3.11,2.0,20.0,0,0,1,0,1,1,1
170851,6.0,0,0,0,1,0,1,0,2,197.0,50414.0,2.0,1.0,511.0,62.82,3.14,6.0,22.0,0,0,1,0,1,0,3
170854,6.0,0,0,0,0,1,1,0,0,326.0,34684.0,1.0,2.0,449.0,75.72,3.21,6.0,18.0,0,0,1,0,1,0,3
170855,6.0,0,0,0,0,1,1,0,2,220.0,64676.0,3.0,4.0,287.0,8.71,3.0460000000000003,7.0,17.0,0,0,1,0,1,0,2
